2025-05-12 18:07:29.565 [info] Reading sessions from keychain...
2025-05-12 18:07:29.565 [info] Getting sessions for all scopes...
2025-05-12 18:07:29.565 [info] Getting sessions for all scopes...
2025-05-12 18:07:29.565 [info] Getting sessions for all scopes...
2025-05-12 18:07:29.565 [info] Getting sessions for all scopes...
2025-05-12 18:07:29.565 [info] Getting sessions for all scopes...
2025-05-12 18:07:29.565 [info] Getting sessions for all scopes...
2025-05-12 18:07:29.565 [info] Getting sessions for all scopes...
2025-05-12 18:07:29.586 [info] Got 0 sessions for ...
2025-05-12 18:07:29.586 [info] Got 0 sessions for ...
2025-05-12 18:07:29.586 [info] Got 0 sessions for ...
2025-05-12 18:07:29.586 [info] Got 0 sessions for ...
2025-05-12 18:07:29.586 [info] Got 0 sessions for ...
2025-05-12 18:07:29.586 [info] Got 0 sessions for ...
2025-05-12 18:07:29.586 [info] Got 0 sessions for ...
2025-05-12 18:07:29.724 [info] Getting sessions for all scopes...
2025-05-12 18:07:29.724 [info] Got 0 sessions for ...
2025-05-12 18:07:30.014 [info] Getting sessions for all scopes...
2025-05-12 18:07:30.014 [info] Got 0 sessions for ...
2025-05-12 18:07:30.272 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-05-12 18:07:30.272 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-05-12 18:07:31.140 [info] Getting sessions for all scopes...
2025-05-12 18:07:31.140 [info] Got 0 sessions for ...
